time,open,high,low,close,Volume
2005-01-24,195.19,195.67999,194.56,195.03,NaN
2005-01-25,197.92,199.75,195.22,197.81,NaN
2005-01-26,199.21001,200.11,198.75,199.25999,NaN
2005-01-27,199.8,201.45,199.41,199.61,NaN
2005-01-28,200.22,203.8,200.22,202.66,NaN
2005-01-31,202.66,204.28,202.16,203.09,NaN
2005-02-01,202.81,204.67999,202.12,202.21001,NaN
2005-02-02,202.21001,204.71001,202.03999,203.78,NaN
2005-02-03,203.78,206,203.78,204.21001,NaN
2005-02-04,204.45,206.39999,204.45,205.53999,NaN
2005-02-07,205.53999,206.69,204.95,205.25999,NaN
2005-02-08,205.41,206.10001,205.03,205.57001,NaN
2005-02-09,206.86,207.89999,206.00999,207.89999,NaN
2005-02-10,208.64999,209.45,207.96001,207.98,NaN
2005-02-11,208.42999,208.58,206.77,208.17999,NaN
2005-02-14,210.66,212.63,209.34,212.44,NaN
2005-02-15,213.19,213.73,211.89,211.89,NaN
2005-02-16,211.89,214.67,211.89,214,NaN
2005-02-17,214.42,215.09,212.10001,212.17999,NaN
2005-02-18,212.87,214.05,211.7,213.42999,NaN
2005-02-21,213.42,214.16,209.42,209.42,NaN
2005-02-22,207.42999,208.39,206.49001,208.14999,NaN
2005-02-24,208.55,209.23,207.38,208.74001,NaN
2005-02-25,208.73,211.37,208.73,210.22,NaN
2005-02-28,210.46001,211.09,206.94,206.94,NaN
2005-03-01,207.69,208.48,206.88,208.48,NaN
2005-03-02,207.07001,208.58,205.10001,205.14999,NaN
2005-03-03,206.28,207.5,205.14999,206.52,NaN
2005-03-04,206.38,207.92999,205.53999,206.2,NaN
2005-03-07,206.28999,206.66,205.39999,205.49001,NaN
2005-03-08,205.84,206.78999,205.34,205.98,NaN
2005-03-09,204.72,205.69,203.28999,204.84,NaN
2005-03-10,204.84,204.84,202.89999,203.85001,NaN
2005-03-11,204.16,206.78,204.16,204.72,NaN
2005-03-14,204.35001,204.37,201.25999,201.53999,NaN
2005-03-15,201.47,202.53,200.49001,200.49001,NaN
2005-03-16,200.35001,200.92999,200.09,200.92999,NaN
2005-03-17,199.47,201,199.44,199.77,NaN
2005-03-18,199.77,201.83,199.77,199.95,NaN
2005-03-21,200.17,201.49001,198.84,200.09,NaN
2005-03-22,200.32001,200.37,199.2,200.37,NaN
2005-03-23,200.37,201.14999,199.69,200.61,NaN
2005-03-24,200.73,201.62,197.83,198.06,NaN
2005-03-25,198.96001,201.60001,198.14,201.60001,NaN
2005-03-28,199.42,201.42,198.25999,198.64,NaN
2005-03-29,199.82001,201.02,197.77,198.05,NaN
2005-03-30,198.2,198.92999,195.99001,195.99001,NaN
2005-03-31,197.59,198.63,196.53999,197.89999,NaN
2005-04-01,199.00999,199.49001,197.56,198.23,NaN
2005-04-04,197.48,198.21001,195.14,195.14999,NaN
2005-04-05,195.75,196.57001,195.39,196.3,NaN
2005-04-07,197.03,199.63,196.63,197.03,NaN
2005-04-08,197.03,198.69,196.77,196.92,NaN
2005-04-11,197.17,200.14999,196.98,200.14999,NaN
2005-04-12,200.64999,202.57001,200.64999,201.28999,NaN
2005-04-18,200.14999,200.35001,197.63,197.75999,NaN
2005-04-19,198.49001,200.06,198.25999,198.83,NaN
2005-04-20,199.2,199.53999,196.00999,196.00999,NaN
2005-04-21,196.00999,196.14999,194.42999,194.7,NaN
2005-04-22,195.42,197.96001,195.42,196.10001,NaN
2005-04-25,194.47,194.96001,193.63,194.09,NaN
2005-04-26,195.11,197.78,193.39,194.23,NaN
2005-04-27,194.23,195.31,191.74001,191.74001,NaN
2005-04-28,191.74001,193.28999,190.71001,191.53,NaN
2005-04-29,192,192.64,191.25,192.64,NaN
2005-05-03,193.02,194.2,191.78999,192.91,NaN
2005-05-04,193.61,194.44,192.53999,194.17,NaN
2005-05-06,194.61,195.97,194,194.63,NaN
2005-05-09,194.97,196.03,194.19,195.10001,NaN
2005-05-10,195.58,195.58,189.73,190.28,NaN
2005-05-11,190.49001,192.19,189.91,191.48,NaN
2005-05-12,192.03999,192.3,190.38,190.38,NaN
2005-05-13,190.05,191.55,187.87,188.8,NaN
2005-05-16,189.39999,189.94,186.87,186.87,NaN
2005-05-17,187.08,187.92,186.38,186.52,NaN
2005-05-18,186.64,187.06,184.2,184.2,NaN
2005-05-19,184.59,185.28,183.58,183.73,NaN
2005-05-20,184.16,184.82001,183.64999,183.77,NaN
2005-05-24,183.64999,184.32001,182.08,182.08,NaN
2005-05-25,182.02,183.02,181.11,181.11,NaN
2005-05-26,180.92999,182.03999,180.92999,181.92999,NaN
