<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	00:47:00	0.90577	0.90577	0.90566	0.90572	18	0	131
2025.01.02	00:48:00	0.90572	0.90581	0.90570	0.90581	16	0	141
2025.01.02	00:49:00	0.90581	0.90585	0.90580	0.90585	10	0	131
2025.01.02	00:50:00	0.90585	0.90587	0.90568	0.90571	13	0	128
2025.01.02	00:51:00	0.90571	0.90572	0.90535	0.90544	28	0	147
2025.01.02	00:52:00	0.90544	0.90570	0.90544	0.90554	14	0	134
2025.01.02	00:53:00	0.90554	0.90572	0.90554	0.90572	11	0	138
2025.01.02	00:54:00	0.90572	0.90572	0.90564	0.90568	6	0	134
2025.01.02	00:55:00	0.90568	0.90576	0.90566	0.90572	17	0	128
2025.01.02	00:56:00	0.90572	0.90575	0.90568	0.90570	12	0	126
2025.01.02	00:57:00	0.90570	0.90587	0.90570	0.90585	15	0	124
2025.01.02	00:58:00	0.90576	0.90589	0.90576	0.90588	22	0	118
2025.01.02	00:59:00	0.90588	0.90592	0.90588	0.90592	9	0	114
2025.01.02	01:00:00	0.90586	0.90681	0.90585	0.90654	76	0	19
2025.01.02	01:01:00	0.90654	0.90695	0.90654	0.90695	25	0	18
2025.01.02	01:02:00	0.90695	0.90719	0.90695	0.90712	25	0	18
2025.01.02	01:03:00	0.90712	0.90727	0.90699	0.90718	19	0	17
2025.01.02	01:04:00	0.90718	0.90719	0.90704	0.90704	10	0	17
2025.01.02	01:05:00	0.90706	0.90716	0.90706	0.90712	15	0	17
2025.01.02	01:06:00	0.90712	0.90714	0.90711	0.90712	10	0	17
2025.01.02	01:07:00	0.90712	0.90721	0.90712	0.90721	8	0	17
2025.01.02	01:08:00	0.90722	0.90726	0.90722	0.90725	5	0	17
2025.01.02	01:09:00	0.90723	0.90737	0.90720	0.90736	15	0	17
2025.01.02	01:10:00	0.90736	0.90741	0.90732	0.90739	21	0	17
2025.01.02	01:11:00	0.90735	0.90735	0.90722	0.90724	9	0	17
2025.01.02	01:12:00	0.90724	0.90727	0.90715	0.90716	20	0	18
2025.01.02	01:13:00	0.90716	0.90717	0.90704	0.90714	20	0	18
2025.01.02	01:14:00	0.90714	0.90714	0.90708	0.90710	12	0	18
2025.01.02	01:15:00	0.90712	0.90727	0.90712	0.90724	19	0	18
